"change_date","datetime(change_date)","JULIANDAY(change_date)"
"2025-05-22 10:33:20","2025-05-22 10:33:20",2460817.939814815
"2025-05-22 10:33:31","2025-05-22 10:33:31",2460817.9399421294
"2025-05-22 10:38:22","2025-05-22 10:38:22",2460817.9433101853
"2025-05-22 10:41:41","2025-05-22 10:41:41",2460817.945613426
"2025-05-22 10:44:10","2025-05-22 10:44:10",2460817.947337963
